label,title,speaker,lines
1,Alexander Hamilton,WASHINGTON,"Moved in with a cousin, the cousin committed suicide"
1,Alexander Hamilton,WASHINGTON,"Left him with nothin' but ruined pride, something new inside"
1,Alexander Hamilton,WASHINGTON,A voice saying
1,Alexander Hamilton,WASHINGTON,"""Alex, you gotta fend for yourself."""
1,Alexander Hamilton,WASHINGTON,He started retreatin' and readin' every treatise on the shelf
1,Alexander Hamilton,BURR,There would have been nothin' left to do
1,Alexander Hamilton,BURR,For someone less astute
1,Alexander Hamilton,BURR,He woulda been dead or destitute
1,Alexander Hamilton,BURR,Without a cent of restitution
1,Alexander Hamilton,BURR,"Started workin', clerkin' for his late mother's landlord"
1,Alexander Hamilton,BURR,Tradin' sugar cane and rum and all the things he can't afford
1,Alexander Hamilton,BURR,Scammin' for every book he can get his hands on
1,Alexander Hamilton,BURR,Plannin' for the future see him now as he stands on 
1,Alexander Hamilton,COMPANY,ooh
1,Alexander Hamilton,BURR,The bow of a ship headed for a new land
1,Alexander Hamilton,BURR,In New York you can be a new man
1,Alexander Hamilton,COMPANY,In New York you can be a new man 
1,Alexander Hamilton,HAMILTON,Just you wait
1,Alexander Hamilton,COMPANY,In New York you can be a new man 
1,Alexander Hamilton,HAMILTON,Just you wait
1,Alexander Hamilton,COMPANY,In New York you can be a new man
1,Alexander Hamilton,HAMILTON,"In New York, New York"
1,Alexander Hamilton,HAMILTON,Just you wait!
1,Alexander Hamilton,COMPANY,Alexander Hamilton 
1,Alexander Hamilton,COMPANY,Alexander Hamilton
1,Alexander Hamilton,COMPANY,We are waiting in the wings for you 
1,Alexander Hamilton,COMPANY,waiting in the wings for you
1,Alexander Hamilton,COMPANY,You could never back down
1,Alexander Hamilton,COMPANY,You never learned to take your time!
1,Alexander Hamilton,COMPANY,"Oh, Alexander Hamilton "
1,Alexander Hamilton,COMPANY,Alexander Hamilton
1,Alexander Hamilton,COMPANY,When America sings for you
1,Alexander Hamilton,COMPANY,Will they know what you overcame?
1,Alexander Hamilton,COMPANY,Will they know you rewrote the game?
1,Alexander Hamilton,COMPANY,"The world will never be the same, oh"
1,Alexander Hamilton,BURR,The ship is in the harbor now
1,Alexander Hamilton,BURR,See if you can spot him
1,Alexander Hamilton,MEN,Just you wait
1,Alexander Hamilton,BURR,Another immigrant
1,Alexander Hamilton,BURR,Comin' up from the bottom
1,Alexander Hamilton,COMPANY,Just you wait
1,Alexander Hamilton,BURR,His enemies destroyed his rep
1,Alexander Hamilton,BURR,America forgot him
1,Alexander Hamilton,MULLIGAN/MADISON & LAFAYETTE/JEFFERSON,We fought with him
1,Alexander Hamilton,LAURENS/PHILIP,Me? I died for him
1,Alexander Hamilton,WASHINGTON,Me? I trusted him
1,Alexander Hamilton,ELIZA & ANGELICA & PEGGY/MARIA,Me? I loved him
1,Alexander Hamilton,BURR,And me? I'm the damn fool that shot him
1,Alexander Hamilton,COMPANY,There's a million things I haven't done
1,Alexander Hamilton,COMPANY,But just you wait!
1,Alexander Hamilton,BURR,"What's your name, man?"
1,Alexander Hamilton,COMPANY,Alexander Hamilton!
1,"Aaron Burr, Sir",COMPANY,1776. New York City
1,"Aaron Burr, Sir",HAMILTON,"Pardon me. Are you Aaron Burr, sir?"
1,"Aaron Burr, Sir",BURR,That depends. Who's asking?
1,"Aaron Burr, Sir",HAMILTON,"Oh, well, sure, sir"
1,"Aaron Burr, Sir",HAMILTON,"I'm Alexander Hamilton, I'm at your service, sir"
1,"Aaron Burr, Sir",HAMILTON,I have been looking for you
1,"Aaron Burr, Sir",BURR,I'm getting nervous
1,"Aaron Burr, Sir",HAMILTON,Sir...
1,"Aaron Burr, Sir",HAMILTON,"I heard your name at Princeton. I was seeking an accelerated course of study when I got sort of out of sorts with a buddy of yours. I may have punched him. It's a blur, sir. He handles the financials?"
1,"Aaron Burr, Sir",BURR,You punched the bursar
1,"Aaron Burr, Sir",HAMILTON,Yes!
1,"Aaron Burr, Sir",HAMILTON,"I wanted to do what you did. Graduate in two, then join the revolution. He looked at me like I was stupid, I'm not stupid"
1,"Aaron Burr, Sir",HAMILTON,So how'd you do it? How'd you graduate so fast?
1,"Aaron Burr, Sir",BURR,It was my parents' dying wish before they passed
1,"Aaron Burr, Sir",HAMILTON,You're an orphan. Of course! I'm an orphan
1,"Aaron Burr, Sir",HAMILTON,"God, I wish there was a war!"
1,"Aaron Burr, Sir",HAMILTON,Then we could prove that we're worth more
1,"Aaron Burr, Sir",HAMILTON,Than anyone bargained for...
1,"Aaron Burr, Sir",BURR,Can I buy you a drink?
1,"Aaron Burr, Sir",HAMILTON,That would be nice
1,"Aaron Burr, Sir",BURR,"While we're talking, let me offer you some free advice"
1,"Aaron Burr, Sir",BURR,Talk less
1,"Aaron Burr, Sir",HAMILTON,What?
1,"Aaron Burr, Sir",BURR,Smile more
1,"Aaron Burr, Sir",HAMILTON,Ha
1,"Aaron Burr, Sir",BURR,Don't let them know what you're against or what you're for
1,"Aaron Burr, Sir",HAMILTON,You can't be serious
1,"Aaron Burr, Sir",BURR,You wanna get ahead?
1,"Aaron Burr, Sir",HAMILTON,Yes
1,"Aaron Burr, Sir",BURR,Fools who run their mouths off wind up dead
1,"Aaron Burr, Sir",LAURENS,Yo yo yo yo yo!
1,"Aaron Burr, Sir",LAURENS,What time is it?
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,Show time!
1,"Aaron Burr, Sir",BURR,Like I said...
1,"Aaron Burr, Sir",LAURENS,Show time! Show time! Yo!
1,"Aaron Burr, Sir",LAURENS,I'm John Laurens in the place to be!
1,"Aaron Burr, Sir",LAURENS,"Two pints o' Sam Adams, but I'm workin' on three, uh!"
1,"Aaron Burr, Sir",LAURENS,Those redcoats don't want it with me!
1,"Aaron Burr, Sir",LAURENS,Cuz I will pop chick-a pop these cops till I'm free!
1,"Aaron Burr, Sir",LAFAYETTE,"Oui oui, mon ami, je m'appelle Lafayette!"
1,"Aaron Burr, Sir",LAFAYETTE,The Lancelot of the revolutionary set!
1,"Aaron Burr, Sir",LAFAYETTE,I came from afar just to say "Bonsoir!"
1,"Aaron Burr, Sir",LAFAYETTE,Tell the King "Casse toi!" Who's the best?
1,"Aaron Burr, Sir",MULLIGAN,Brrrah brraaah! I am Hercules Mulligan
1,"Aaron Burr, Sir",MULLIGAN,"Up in it, lovin' it, yes I heard ya mother said"
1,"Aaron Burr, Sir",MULLIGAN,"""Come again?"""
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS,Ayyyyy
1,"Aaron Burr, Sir",MULLIGAN,"Lock up ya daughters and horses, of course"
1,"Aaron Burr, Sir",MULLIGAN,It's hard to have intercourse over four sets of corsets...
1,"Aaron Burr, Sir",LAFAYETTE,Wow
1,"Aaron Burr, Sir",LAURENS,"No more sex, pour me another brew, son!"
1,"Aaron Burr, Sir",LAURENS,Let's raise a couple more...
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,To the revolution!
1,"Aaron Burr, Sir",LAURENS,"Well, if it ain't the prodigy of Princeton college!"
1,"Aaron Burr, Sir",MULLIGAN,Aaron Burr!
1,"Aaron Burr, Sir",LAURENS,"Give us a verse, drop some knowledge!"
1,"Aaron Burr, Sir",BURR,Good luck with that: you're takin' a stand
1,"Aaron Burr, Sir",BURR,You spit. I'm 'a sit. We'll see where we land
1,"Aaron Burr, Sir",LAFAYETTE/MULLIGAN,Boooo!
1,"Aaron Burr, Sir",LAURENS,"Burr, the revolution's imminent. What do you stall for?"
1,"Aaron Burr, Sir",HAMILTON,"If you stand for nothing, Burr, what'll you fall for?"
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,Ooh
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,Who you?
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,Who you?
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,Who are you?
1,"Aaron Burr, Sir",LAFAYETTE/LAURENS/MULLIGAN,"Ooh, who is this kid? What's he gonna do?"
1,My Shot,HAMILTON,I am not throwing away my shot!
1,My Shot,HAMILTON,I am not throwing away my shot!
1,My Shot,HAMILTON,"Hey yo, I'm just like my country"
1,My Shot,HAMILTON,"I'm young, scrappy and hungry"
1,My Shot,HAMILTON,And I'm not throwing away my shot!
1,My Shot,HAMILTON,I'm 'a get a scholarship to King's College
1,My Shot,HAMILTON,"I prob'ly shouldn't brag, but dag, I amaze and astonish"
1,My Shot,HAMILTON,The problem is I got a lot of brains but no polish
1,My Shot,HAMILTON,I gotta holler just to be heard
1,My Shot,HAMILTON,"With every word, I drop knowledge!"
1,My Shot,HAMILTON,"I'm a diamond in the rough, a shiny piece of coal"
1,My Shot,HAMILTON,Tryin' to reach my goal. My power of speech: unimpeachable
1,My Shot,HAMILTON,Only nineteen but my mind is older
1,My Shot,HAMILTON,"These New York City streets get colder, I shoulder"
1,My Shot,HAMILTON,"Ev'ry burden, ev'ry disadvantage"
1,My Shot,HAMILTON,"I have learned to manage, I don't have a gun to brandish"
1,My Shot,HAMILTON,I walk these streets famished
1,My Shot,HAMILTON,The plan is to fan this spark into a flame
1,My Shot,HAMILTON,"But damn, it's getting dark, so let me spell out the name"
1,My Shot,HAMILTON,I am the-
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,A-L-E-X-A-N-D
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,E-R-we are-meant to be ...
1,My Shot,HAMILTON,A colony that runs independently
1,My Shot,HAMILTON,"Meanwhile, Britain keeps shittin' on us endlessly"
1,My Shot,HAMILTON,"Essentially, they tax us relentlessly"
1,My Shot,HAMILTON,"Then King George turns around, runs a spending spree"
1,My Shot,HAMILTON,He ain't ever gonna set his descendants free
1,My Shot,HAMILTON,So there will be a revolution in this century
1,My Shot,HAMILTON,Enter me!
1,My Shot,LAFAYETTE/MULLIGAN/LAURENS,He says in parentheses
1,My Shot,HAMILTON,Don't be shocked when your hist'ry book mentions me
1,My Shot,HAMILTON,I will lay down my life if it sets us free
1,My Shot,HAMILTON,"Eventually, you'll see my ascendancy"
1,My Shot,HAMILTON,And I am not throwing away
1,My Shot,HAMILTON,My shot 
1,My Shot,LAURENS,my shot
1,My Shot,HAMILTON,I am not throwing away
1,My Shot,HAMILTON,My shot 
1,My Shot,LAURENS,my shot
1,My Shot,LAURENS,"Hey yo, I'm just like my country"
1,My Shot,HAMILTON,"I'm young, scrappy and hungry"
1,My Shot,HAMILTON,And I'm not throwing away my shot
1,My Shot,HAMILTON,And I'm not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,I am not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,I am not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,"Hey yo, I'm just like my country"
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,"I'm young, scrappy and hungry"
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,And I'm not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,It's time to take a shot!
1,My Shot,LAFAYETTE,I dream of life without a monarchy
1,My Shot,LAFAYETTE,The unrest in France will lead to 'onarchy?
1,My Shot,LAFAYETTE,"Onarchy? How you say, how you say, 'anarchy?'"
1,My Shot,LAFAYETTE,"When I fight, I make the other side panicky"
1,My Shot,LAFAYETTE,With my-
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Shot!
1,My Shot,MULLIGAN,"Yo, I'm a tailor's apprentice"
1,My Shot,MULLIGAN,And I got y'all knuckleheads in loco parentis
1,My Shot,MULLIGAN,I'm joining the rebellion cuz I know it's my chance
1,My Shot,MULLIGAN,"To socially advance, instead of sewin' some pants!"
1,My Shot,MULLIGAN,I'm gonna take a-
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Shot!
1,My Shot,LAURENS,But we'll never be truly free
1,My Shot,LAURENS,Until those in bondage have the same rights as you and me
1,My Shot,LAURENS,You and I. Do or die. Wait till I sally in
1,My Shot,LAURENS,On a stallion with the first black battalion
1,My Shot,LAURENS,Have another-
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Shot!
1,My Shot,BURR,"Geniuses, lower your voices"
1,My Shot,BURR,You keep out of trouble and you double your choices
1,My Shot,BURR,"I'm with you, but the situation is fraught"
1,My Shot,BURR,You've got to be carefully taught:
1,My Shot,BURR,"If you talk, you're gonna get shot!"
1,My Shot,HAMILTON,"Burr, check what we got"
1,My Shot,HAMILTON,"Mister Lafayette, hard rock like Lancelot"
1,My Shot,HAMILTON,I think your pants look hot
1,My Shot,HAMILTON,"Laurens, I like you a lot"
1,My Shot,HAMILTON,Let's hatch a plot blacker than the kettle callin' the pot...
1,My Shot,HAMILTON,What are the odds the gods would put us all in one spot
1,My Shot,HAMILTON,"Poppin' a squat on conventional wisdom, like it or not"
1,My Shot,HAMILTON,A bunch of revolutionary manumission abolitionists?
1,My Shot,HAMILTON,"Give me a position, show me where the ammunition is!"
1,My Shot,HAMILTON,"Oh, am I talkin' too loud?"
1,My Shot,HAMILTON,"Sometimes I get over excited, shoot off at the mouth"
1,My Shot,HAMILTON,I never had a group of friends before
1,My Shot,HAMILTON,I promise that I'll make y'all proud
1,My Shot,LAURENS,Let's get this guy in front of a crowd
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,I am not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,I am not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,"Hey yo, I'm just like my country"
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,"I'm young, scrappy and hungry"
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,And I'm not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,I am not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,I am not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,"Hey yo, I'm just like my country"
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,"I'm young, scrappy and hungry"
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,And I'm not throwing away my shot
1,My Shot,LAURENS,Ev'rybody sing:
1,My Shot,LAURENS,"Whoa, whoa, whoa "
1,My Shot,HAMILTON/LAFAYETTE/MULLIGAN,"whoa, whoa, whoa"
1,My Shot,LAURENS,Hey!
1,My Shot,LAURENS,Whoa 
1,My Shot,HAMILTON/LAFAYETTE/MULLIGAN,Whoa
1,My Shot,LAURENS,Wooh!!
1,My Shot,LAURENS,Whoa! 
1,My Shot,HAMILTON/LAFAYETTE/MULLIGAN,Whoa
1,My Shot,LAURENS,Said let 'em hear ya! 
1,My Shot,HAMILTON/LAFAYETTE/MULLIGAN,Yea
1,My Shot,LAURENS,Let's go!
1,My Shot,COMPANY,Whoa! Whoa! Whoa!
1,My Shot,LAURENS,I said shout it to the rooftops!
1,My Shot,COMPANY,Whoa!
1,My Shot,LAURENS,"Said, to the rooftops!"
1,My Shot,COMPANY,Whoa!
1,My Shot,LAURENS,Come on!
1,My Shot,COMPANY,Yea
1,My Shot,LAURENS,"Come on, let's go!"
1,My Shot,LAURENS,Rise up!
1,My Shot,LAURENS,"When you're living on your knees, you rise up"
1,My Shot,LAURENS,Tell your brother that he's gotta rise up
1,My Shot,LAURENS,Tell your sister that she's gotta rise up
1,My Shot,LAURENS,When are these colonies gonna rise up?
1,My Shot,COMPANY,Whoa! Whoa! Whoa!
1,My Shot,LAURENS,When are these colonies gonna rise up?
1,My Shot,COMPANY,Whoa
1,My Shot,LAURENS,When are these colonies gonna rise up?
1,My Shot,COMPANY,Whoa
1,My Shot,LAURENS,When are these colonies gonna rise up?
1,My Shot,COMPANY,Whoa
1,My Shot,LAURENS,Rise up! 
1,My Shot,COMPANY,Rise up!
1,My Shot,HAMILTON,I imagine death so much it feels more like a memory
1,My Shot,HAMILTON,When's it gonna get me?
1,My Shot,HAMILTON,In my sleep? Seven feet ahead of me?
1,My Shot,HAMILTON,"If I see it comin', do I run or do I let it be?"
1,My Shot,HAMILTON,Is it like a beat without a melody?
1,My Shot,HAMILTON,"See, I never thought I'd live past twenty"
1,My Shot,HAMILTON,Where I come from some get half as many
1,My Shot,HAMILTON,"Ask anybody why we livin' fast and we laugh, reach for a flask"
1,My Shot,HAMILTON,"We have to make this moment last, that's plenty"
1,My Shot,HAMILTON,Scratch that
1,My Shot,HAMILTON,"This is not a moment, it's the movement"
1,My Shot,HAMILTON,Where all the hungriest brothers with
1,My Shot,HAMILTON,Something to prove went?
1,My Shot,HAMILTON,"Foes oppose us, we take an honest stand"
1,My Shot,HAMILTON,"We roll like Moses, claimin' our promised land"
1,My Shot,HAMILTON,And? If we win our independence?
1,My Shot,HAMILTON,Is that a guarantee of freedom for our descendants?
1,My Shot,HAMILTON,Or will the blood we shed begin an endless
1,My Shot,HAMILTON,Cycle of vengeance and death with no defendants?
1,My Shot,HAMILTON,I know the action in the street is excitin'
1,My Shot,HAMILTON,"But Jesus, between all the bleedin' 'n fightin'"
1,My Shot,HAMILTON,I've been readin' 'n writin'
1,My Shot,HAMILTON,We need to handle our financial situation
1,My Shot,HAMILTON,Are we a nation of states? What's the state of our nation?
1,My Shot,HAMILTON,I'm past patiently waitin'
1,My Shot,HAMILTON,I'm passionately smashin' every expectation
1,My Shot,HAMILTON,Every action's an act of creation!
1,My Shot,HAMILTON,I'm laughin' in the face of casualties and sorrow
1,My Shot,HAMILTON,"For the first time, I'm thinkin' past tomorrow"
1,My Shot,HAMILTON & COMPANY,And I am not throwing away my shot
1,My Shot,HAMILTON & COMPANY,I am not throwing away my shot
1,My Shot,HAMILTON & COMPANY,"Hey yo, I'm just like my country"
1,My Shot,HAMILTON & COMPANY,"I'm young, scrappy and hungry"
1,My Shot,HAMILTON & COMPANY,And I'm not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,We're gonna rise up! Time to take a shot!
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,Not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,We're gonna rise up! Time to take a shot!
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,Not throwing away my shot
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE,We're gonna
1,My Shot,ENSEMBLE,We're gonna
1,My Shot,HAMILTON,Time to take a shot! 
1,My Shot,ENSEMBLE,Rise up
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Time to take a shot! 
1,My Shot,ENSEMBLE,Rise up
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Time to take a shot! 
1,My Shot,ENSEMBLE,Rise up
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Take a shot! Ri- ri- ri-
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Shot!
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Shot!
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,A-yo it's
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Time to take a shot! 
1,My Shot,ENSEMBLE,Time to take a shot!
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Time to take a shot! 
1,My Shot,ENSEMBLE,Time to take a shot!
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,And I am- 
1,My Shot,ENSEMBLE,And I am
1,My Shot,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Not throwin' away my-
1,My Shot,COMPANY,Not throwin' away my shot!
1,The Story of Tonight,HAMILTON,I may not live to see our glory!
1,The Story of Tonight,LAFAYETTE/LAURENS/MULLIGAN,I may not live to see our glory!
1,The Story of Tonight,HAMILTON,But I will gladly join the fight!
1,The Story of Tonight,LAFAYETTE/LAURENS/MULLIGAN,But I will gladly join the fight!
1,The Story of Tonight,HAMILTON,And when our children tell our story...
1,The Story of Tonight,LAFAYETTE/LAURENS/MULLIGAN,And when our children tell our story...
1,The Story of Tonight,HAMILTON,They'll tell the story of tonight
1,The Story of Tonight,MULLIGAN,Let's have another round tonight
1,The Story of Tonight,LAFAYETTE,Let's have another round tonight
1,The Story of Tonight,HAMILTON,Let's have another round tonight
1,The Story of Tonight,LAURENS,Raise a glass to freedom
1,The Story of Tonight,LAURENS,Something they can never take away
1,The Story of Tonight,LAURENS,No matter what they tell you
1,The Story of Tonight,LAURENS,Raise a glass to the four of us
1,The Story of Tonight,LAURENS/MULLIGAN,Tomorrow there'll be more of us
1,The Story of Tonight,LAFAYETTE/LAURENS/MULLIGAN,Telling the story of tonight
1,The Story of Tonight,HAMILTON,They'll tell the story of tonight
1,The Story of Tonight,LAFAYETTE/LAURENS/MULLIGAN,Raise a glass to freedom
1,The Story of Tonight,LAFAYETTE/LAURENS/MULLIGAN,Something they can never take away
1,The Story of Tonight,HAMILTON,No matter what they tell you
1,The Story of Tonight,LAFAYETTE/MULLIGAN,Let's have another round tonight
1,The Story of Tonight,LAURENS,Raise a glass to the four of us
1,The Story of Tonight,HAMILTON/LAFAYETTE/LAURENS/MULLIGAN,Tomorrow there'll be more of us
1,The Story of Tonight,HAMILTON/LAURENS,Telling the story of tonight
1,The Story of Tonight,LAFAYETTE/MULLIGAN,Let's have another round tonight
1,The Story of Tonight,HAMILTON/LAURENS & ENSEMBLE,They'll tell the story of tonight
1,The Story of Tonight,LAFAYETTE/MULLIGAN & ENSEMBLE,Raise a glass to freedom
1,The Story of Tonight,HAMILTON/LAURENS & ENSEMBLE,They'll tell the story of tonight
1,The Story of Tonight,LAFAYETTE/MULLIGAN & ENSEMBLE,Raise a glass to freedom
1,The Story of Tonight,HAMILTON/LAURENS & ENSEMBLE,They'll tell the story of tonight
1,The Story of Tonight,LAFAYETTE/MULLIGAN & ENSEMBLE,They'll tell the story of-
1,The Story of Tonight,FULL ENSEMBLE,Tonight
1,The Schuyler Sisters,BURR,There's nothing rich folks love more
1,The Schuyler Sisters,BURR,Than going downtown and slummin' it with the poor
1,The Schuyler Sisters,BURR,They pull up in their carriages and gawk
1,The Schuyler Sisters,BURR,At the students in the common
1,The Schuyler Sisters,BURR,Just to watch them talk
1,The Schuyler Sisters,BURR,Take Philip Schuyler: the man is loaded
1,The Schuyler Sisters,BURR,"Uh-oh, but little does he know that"
1,The Schuyler Sisters,BURR,"His daughters, Peggy, Angelica, Eliza"
1,The Schuyler Sisters,BURR,Sneak into the city just to watch all the guys at-
1,The Schuyler Sisters,COMPANY,"Work, work!"
1,The Schuyler Sisters,ANGELICA,Angelica!
1,The Schuyler Sisters,COMPANY,"Work, work!"
1,The Schuyler Sisters,ELIZA,Eliza!
1,The Schuyler Sisters,PEGGY,And Peggy!
1,The Schuyler Sisters,COMPANY,"Work, work!"
1,The Schuyler Sisters,COMPANY,The Schuyler sisters!
1,The Schuyler Sisters,ANGELICA,Angelica!
1,The Schuyler Sisters,PEGGY,Peggy!
1,The Schuyler Sisters,ELIZA,Eliza!
1,The Schuyler Sisters,COMPANY,Work!
1,The Schuyler Sisters,PEGGY,Daddy said to be home by sundown
1,The Schuyler Sisters,ANGELICA,Daddy doesn't need to know
1,The Schuyler Sisters,PEGGY,Daddy said not to go downtown
1,The Schuyler Sisters,ELIZA,"Like I said, you're free to go"
1,The Schuyler Sisters,ANGELICA,"But-look around, look around, the"
1,The Schuyler Sisters,ANGELICA,Revolution's happening in New York
1,The Schuyler Sisters,ELIZA/PEGGY,New York
1,The Schuyler Sisters,COMPANY,Angelica
1,The Schuyler Sisters,ANGELICA/ELIZA/PEGGY & COMPANY,Work!
1,The Schuyler Sisters,PEGGY,It's bad enough daddy wants to go to war
1,The Schuyler Sisters,ELIZA,People shouting in the square
1,The Schuyler Sisters,PEGGY,It's bad enough there'll be violence on our shore
1,The Schuyler Sisters,ANGELICA,New ideas in the air
1,The Schuyler Sisters,ANGELICA & MALE ENSEMBLE,"Look around, look around-"
1,The Schuyler Sisters,ELIZA,"Angelica, remind me what we're looking for..."
1,The Schuyler Sisters,MEN,She's lookin' for me!
1,The Schuyler Sisters,ANGELICA,"Eliza, I'm lookin' for a mind at work "
1,The Schuyler Sisters,COMPANY,"work, work"
1,The Schuyler Sisters,ANGELICA,I'm lookin' for a mind at work! 
1,The Schuyler Sisters,COMPANY,"work, work"
1,The Schuyler Sisters,ANGELICA,I'm lookin' for a mind at work! 
1,The Schuyler Sisters,COMPANY,"work, work"
1,The Schuyler Sisters,ANGELICA,Whooaaaaa!
1,The Schuyler Sisters,ANGELICA/ELIZA/PEGGY,Whooaaaaa!
1,The Schuyler Sisters,COMPANY,Work!
1,The Schuyler Sisters,BURR,Wooh! There's nothin' like summer in the city
1,The Schuyler Sisters,BURR,Someone in a rush next to someone lookin' pretty
1,The Schuyler Sisters,BURR,"Excuse me, miss, I know it's not funny"
1,The Schuyler Sisters,BURR,But your perfume smells like your daddy's got money
1,The Schuyler Sisters,BURR,Why you slummin' in the city in your fancy heels
